suggestion_id,action,rationale,change_ref,owner,status
MK001,accept,"Cache-line optimization is critical for MACH-1000 performance. 16-byte Variant packs 4 per 64-byte cache line vs ~2.6 for 24-byte. Decimal fits exactly in 14-byte payload + 2-byte tag. COM ABI bridging handled at boundary, not in hot-path layout.",MACH1000_PLAN.md:2.3,@govert/Claude,applied
MK002,accept,"NaN-boxing analysis is sound — 51 usable bits cannot represent Decimal's 96-bit integer + scale. Include analysis as explicit design rationale to prevent future re-investigation.",MACH1000_PLAN.md:2.3,@govert/Claude,applied
MK003,accept,"SSO for strings <=14 bytes eliminates heap allocation for the majority of VBA string temporaries (cell references, short labels, error codes). Major win for string-heavy VBA code.",MACH1000_PLAN.md:2.3,@govert/Claude,applied
MK004,adapt,"Finger trees are theoretically elegant but exotic in Rust (no mature crate). Adapt: document finger-tree-inspired design goal but implement with tiered SmallVec/ThinVec initially, with finger-tree upgrade path when incremental reparsing demands it.",MACH1000_PLAN.md:6.1,@govert/Claude,applied
MK005,accept,"Combinator-based rewriting over immutable trees is natural for the Red/Green architecture. Enables parallel speculative optimization passes. Integrate as the transform model for the IR pipeline.",MACH1000_PLAN.md:2.2,@govert/Claude,applied
MK006,adapt,"MLIR concept is exactly right — progressive lowering preserves domain semantics for VBA-aware optimization. But we won't use actual MLIR (C++ dependency violates values #4/#5). Implement as Rust-native multi-level IR with three tiers: VbaHir → VbaMir → CfgIr. This becomes a new crate: oxvba-ir.",MACH1000_PLAN.md:2.2,@govert/Claude,applied
MK007,accept,"Brilliant insight. On Error Resume Next creates irreducible CFGs if naively lowered. Modeling it as a guarded region in VbaHir and delaying expansion to CfgIr preserves optimization opportunities in earlier passes. Direct accept.",MACH1000_PLAN.md:2.7,@govert/Claude,applied
MK008,accept,"SWAR broadword decoding is a proven Knuth technique. O(1) per 64-bit block for opcode pattern scanning eliminates branch misprediction in the interpreter hot path. Accept for the VM interpreter fast path.",MACH1000_PLAN.md:6.2,@govert/Claude,applied
MK009,adapt,"The MMIX register-window insight is the single most impactful change. Pure stack VMs have inherently high memory traffic. However: fully replacing stack-based design is a major commitment. Adapt: design a hybrid register-window VM as the primary execution engine, with the register-window approach for the interpreter. The bytecode format becomes register-based, not stack-based. Cranelift translation also benefits (register IR → register IR).",MACH1000_PLAN.md:2.2/6.2,@govert/Claude,applied
MK010,accept,"Boundary-tag allocation is well-understood and directly applicable to BStr/SafeArray pools. O(1) coalescing addresses fragmentation in long-running Excel automation workloads. Accept as the allocation strategy for the VBA-specific heap.",MACH1000_PLAN.md:2.4,@govert/Claude,applied
MK011,accept,"rkyv zero-copy deserialization via mmap eliminates startup allocation for large macro corpora. Aligns with performance value. Accept for the bytecode serialization format.",MACH1000_PLAN.md:6.2,@govert/Claude,applied
MK012,defer,"Verus is promising but immature for a project of this scope. The Lean 4 formalization already covers coercion correctness. Defer Verus integration until the Lean specifications are stable and we have concrete unsafe code that would benefit.",n/a,@govert/Claude,deferred
MK013,defer,"Creusot has the same maturity concern as Verus. Semantic preservation proofs for IR lowering are valuable but premature — we need to build the IR first. Defer to post-Phase 3.",n/a,@govert/Claude,deferred
MK014,accept,"Kani is the most immediately actionable formal verification tool for Rust unsafe code. Bounded model checking for broadword masks, union loads, and register window bounds is concrete and achievable. Add to CI pipeline alongside Miri.",MACH1000_PLAN.md:3,@govert/Claude,applied
MK015,accept,"The enhanced Red/Green description with relative-width-only green nodes and ephemeral red wrappers is already implicit in the baseline plan but deserves explicit, detailed treatment. Accept and expand.",MACH1000_PLAN.md:6.1,@govert/Claude,applied
MK016,accept,"This is the motivation for MK001. Accept as explicit architectural rationale — the 24-byte layout is identified as a performance ceiling and the 16-byte layout is the resolution.",MACH1000_PLAN.md:2.3,@govert/Claude,applied
MK017,adapt,"Cycle detection latency spikes are real but the Bacon-Rajan collector is already opt-in in the baseline plan. Adapt: add explicit documentation that the cycle detector is scheduled (not concurrent), with configurable trigger thresholds. Epoch-based batching to amortize cost.",MACH1000_PLAN.md:2.4,@govert/Claude,applied
MK018,accept,"This is the motivation for MK006. The semantic gap between AST and stack-VM/Cranelift is real. The multi-level IR resolves it. Accept as architectural rationale.",MACH1000_PLAN.md:2.2,@govert/Claude,applied
