artifact_family,selected_run_id,artifact_role,artifact_path,notes
correctness,vmd6-corr-boundary-final,summary_csv,docs/evidence/value_model_migration/runs/value_model_correctness_vmd6-corr-boundary-final/correctness_summary.csv,Current paired boundary correctness bundle for string migration
correctness,vmd6-corr-boundary-final,comparison_md,docs/evidence/value_model_migration/runs/value_model_correctness_vmd6-corr-boundary-final/comparison/correctness_summary.md,Current paired boundary correctness bundle for string migration
correctness,vmd6-corr-boundary-final,baseline_lane_dir,docs/evidence/value_model_migration/runs/value_model_correctness_vmd6-corr-boundary-final/baseline/correctness,Selected fixed-tag baseline-side boundary correctness logs
correctness,vmd6-corr-boundary-final,candidate_lane_dir,docs/evidence/value_model_migration/runs/value_model_correctness_vmd6-corr-boundary-final/candidate/correctness,Selected migrated-head boundary correctness logs
correctness,repo-wide-string-conformance-bug-2026-04-21,classification_note,docs/evidence/value_model_migration/report_inputs/03_CORRECTNESS_RESULT.md,Documents `string_slice_ops_dollar.bas` reproducing on baseline and HEAD and classifies it as a repo-wide bug rather than a migration delta
string_perf,vmd7-perf-bstr-coreonly,summary_csv,docs/evidence/value_model_migration/runs/value_model_string_perf_vmd7-perf-bstr-coreonly/string_perf_summary.csv,Current paired four-workload string perf artifact for the core-only BStr carrier
string_perf,vmd7-perf-bstr-coreonly,comparison_csv,docs/evidence/value_model_migration/runs/value_model_string_perf_vmd7-perf-bstr-coreonly/comparison/string_perf_summary.csv,Current paired four-workload string perf artifact for the core-only BStr carrier
string_perf,vmd7-perf-bstr-coreonly,comparison_md,docs/evidence/value_model_migration/runs/value_model_string_perf_vmd7-perf-bstr-coreonly/comparison/string_perf_summary.md,Current paired four-workload string perf artifact for the core-only BStr carrier
string_perf,vmd7-perf-bstr-coreonly,baseline_summary_csv,docs/evidence/value_model_migration/runs/value_model_string_perf_vmd7-perf-bstr-coreonly/baseline/perf/string_perf.csv,Selected fixed-tag baseline-side string perf artifact after the core-only BStr landing
string_perf,vmd7-perf-bstr-coreonly,candidate_summary_csv,docs/evidence/value_model_migration/runs/value_model_string_perf_vmd7-perf-bstr-coreonly/candidate/perf/string_perf.csv,Selected migrated-head string perf artifact after the core-only BStr landing
