"file","oracle_status","oracle_values","golden_status","golden_values","match","notes"
"financial_algorithm_npv_irr_mirr_subset.bas","error","","","","","The remote procedure call failed. (0x800706BE)"
"financial_algorithm_rate_nper_subset.bas","ok","i32:0|i32:10","","","",""
"financial_tolerance_mixed_modes.bas","error","","","","","VBA runtime error RTMERR:5"
"financial_tolerance_non_convergence.bas","error","","","","","VBA runtime error RTMERR:5"
"jit_intrinsic_math_subset.bas","ok","i32:1","","","",""
"object_identity_is_nothing.bas","ok","empty|empty|bool:true|bool:true","","","",""
"object_identity_is_same_and_different.bas","ok","empty|empty|bool:true|bool:false","","","",""
"stdlib_advanced_replace_trim.bas","ok","string:""16745""|string:""456""|string:""321""","","","",""
"stdlib_advanced_split_join.bas","error","","","","","VBA runtime error RTMERR:13"
"stdlib_array_introspection_bounds.bas","ok","empty|i32:0|i32:2","","","",""
"stdlib_array_introspection_types.bas","ok","empty|i32:8204|string:""Variant()""","","","",""
"stdlib_date_add_diff.bas","error","","","","","VBA runtime error RTMERR:5"
"stdlib_date_serial_value.bas","ok","i32:46081|i32:46081","","","",""
"stdlib_date_string_policy.bas","ok","i32:2000|i32:1|i32:1|bool:true|bool:false","","","",""
"stdlib_datetime_expansion.bas","ok","i32:2024|i32:2|i32:3|i32:7","","","",""
"stdlib_financial_zero_rate.bas","ok","i32:-11|i32:-11|i32:-3","","","",""
"stdlib_format_core.bas","ok","i32:5|i32:3","","","",""
"stdlib_instr_case_ops.bas","ok","i32:3|string:""789""|string:""654""","","","",""
"stdlib_math_transcendental_identity.bas","ok","i32:0|i32:1|i32:0|i32:1","","","",""
"stdlib_random_financial_expansion.bas","error","","","","","0x800A9C68"
"stdlib_rnd_isolated.bas","ok","i32:76|i32:10","","","",""
"stdlib_slice_ops.bas","ok","string:""12""|string:""45""|string:""234""","","","",""
"stdlib_string_expansion_core.bas","ok","string:""    ""|string:""AAA""|string:""B""|i32:66|string:""777""","","","",""
"stdlib_time_serial_value.bas","ok","i32:0|i32:0","","","",""
"string_compare_option_binary.bas","ok","i32:3|i32:-1","","","",""
"string_compare_option_text.bas","ok","i32:3|i32:-1","","","",""
"string_join_array_tag_count.bas","ok","empty|string:""10203""","","","",""
"string_mid_statement_mutation.bas","ok","string:""19945""","","","",""
"string_slice_ops_dollar.bas","ok","string:""12""|string:""45""|string:""234""","","","",""
