clause_id,domain,status,verification_scope,verification_anchor
HAL-GEN-001,global,implemented-verified,conformance,run_conformance
HAL-GEN-002,global,implemented-verified,conformance,validate_descriptor_shape
HAL-GEN-003,global,implemented-verified,conformance,run_conformance
HAL-GEN-004,global,implemented-verified,conformance,run_conformance
HAL-GEN-005,global,implemented-verified,host-tests,hal_compile_time_mode_tests
HAL-GEN-006,global,implemented-verified,host-tests,hal_runtime_mode_tests
HAL-GEN-007,global,implemented-verified,host-tests,windows_declares_com_supported_only_on_windows
HAL-GEN-008,global,implemented-verified,conformance,validate_clause_reference_integrity
HAL-DES-001,descriptor,implemented-verified,conformance,validate_descriptor_shape
HAL-DES-002,descriptor,implemented-verified,conformance,validate_descriptor_shape
HAL-DES-003,descriptor,implemented-verified,conformance,validate_descriptor_shape
HAL-DES-004,descriptor,implemented-verified,conformance,run_conformance
HAL-DES-005,descriptor,implemented-verified,host-tests,maturity_does_not_affect_policy_denial_shape
HAL-ERR-001,error,implemented-verified,conformance,expected_stable_code_for_kind
HAL-ERR-002,error,implemented-verified,conformance,run_conformance
HAL-ERR-003,error,implemented-verified,host-tests,hal_runtime_mode_routes_host_error_through_on_error_resume_next
HAL-GOV-001,governance,implemented-verified,conformance,evaluate_maturity_governance
HAL-GOV-002,governance,implemented-verified,conformance,evaluate_maturity_governance
HAL-UI-001,ui,implemented-verified,conformance,ui.msg_box
HAL-UI-002,ui,implemented-verified,host-tests,ui_virtualization_modes_follow_contract
HAL-UI-003,ui,implemented-verified,host-tests,ui_virtualization_modes_follow_contract
HAL-EVT-001,event-pump,implemented-verified,conformance,events.do_events
HAL-EVT-002,event-pump,specified-pending,documentation,uncertainty_registry
HAL-FS-001,file-system,implemented-verified,host-tests,file_open_seek_eof_lof_close_roundtrip
HAL-FS-002,file-system,implemented-verified,host-tests,file_open_seek_eof_lof_close_roundtrip
HAL-FS-003,file-system,implemented-verified,host-tests,seek_negative_returns_adapter_fault
HAL-FS-004,file-system,implemented-verified,host-tests,file_open_seek_eof_lof_close_roundtrip
HAL-FS-005,file-system,implemented-verified,host-tests,file_open_seek_eof_lof_close_roundtrip
HAL-FS-006,file-system,implemented-verified,conformance,fs.free_file
HAL-FS-007,file-system,implemented-verified,conformance,verify_fs_host_backed_contract
HAL-PROC-001,process-env,implemented-verified,conformance,process.shell
HAL-PROC-002,process-env,implemented-verified,host-tests,process_env_deterministic_projection_contract
HAL-PROC-003,process-env,implemented-verified,host-tests,process_env_deterministic_projection_contract
HAL-PROC-004,process-env,implemented-verified,conformance,verify_process_host_backed_contract
HAL-COM-001,com,implemented-verified,conformance,com.create_object
HAL-COM-002,com,implemented-verified,host-tests,dispatch_invoke_deterministic_projection_contract
HAL-COM-003,com,implemented-verified,host-tests,windows_declares_com_supported_only_on_windows
HAL-COM-004,com,implemented-verified,host-tests,windows_native_com_dictionary_lane_executes_when_available
HAL-COM-005,com,specified-pending,documentation,COM_CLIENT_SERVER_SCOPE_V1.md
HAL-COM-006,com,specified-pending,documentation,COM_CLIENT_SERVER_CONFORMANCE_V1.md
HAL-TIME-001,time-locale,implemented-verified,conformance,time.timer_ticks
HAL-TIME-002,time-locale,implemented-verified,conformance,verify_time_host_backed_contract
HAL-DYN-001,dynlink,implemented-verified,conformance,dynlink.invoke_symbol
HAL-DYN-002,dynlink,implemented-verified,host-tests,resolve_declare_alias_is_canonicalized_and_ptrsafe_recorded
HAL-DYN-003,dynlink,implemented-partial,host-tests,hal_runtime_host_backed_declare_invoke_is_case_insensitive_for_lib_and_alias
HAL-DYN-004,dynlink,implemented-verified,host-tests,compile_declare_without_ptrsafe_is_rejected
HAL-DYN-005,dynlink,implemented-partial,host-tests,compile_declare_with_variant_parameter_is_rejected
HAL-DYN-006,dynlink,implemented-partial,host-tests,compile_declare_with_array_parameter_is_rejected
HAL-DYN-007,dynlink,implemented-partial,host-tests,compile_declare_with_non_long_parameter_is_rejected
HAL-DYN-008,dynlink,specified-pending,documentation,HAL_DECLARE_MARSHAL_CONFORMANCE_V1.md
HAL-DYN-009,dynlink,implemented-partial,host-tests,hal_runtime_host_backed_unknown_declare_symbol_surfaces_adapter_fault_shape
HAL-DYN-010,dynlink,implemented-partial,host-tests,compile_declare_with_multiple_arguments_is_rejected
HAL-DYN-011,dynlink,implemented-partial,conformance,dynlink.invoke_descriptor
HAL-DYN-012,dynlink,implemented-partial,conformance,dynlink.invoke_descriptor
HAL-DYN-013,dynlink,implemented-partial,conformance,dynlink.invoke_descriptor
HAL-DYN-014,dynlink,implemented-partial,host-tests,hal_compile_time_mode_rejects_policy_denied_declare_invoke
HAL-DYN-015,dynlink,implemented-partial,conformance,dynlink.invoke_descriptor
HAL-DYN-016,dynlink,implemented-partial,conformance,evaluate_dynlink_contract_paths
HAL-DYN-017,dynlink,implemented-partial,conformance,evaluate_dynlink_contract_paths
HAL-DYN-018,dynlink,implemented-partial,conformance,evaluate_dynlink_contract_paths
HAL-DYN-019,dynlink,implemented-partial,conformance,evaluate_dynlink_contract_paths
HAL-DYN-020,dynlink,implemented-partial,conformance,dynlink.invoke_descriptor
HAL-DIAG-001,diagnostics,implemented-verified,conformance,diag.emit
HAL-NULL-001,null-profile,implemented-verified,host-tests,null_profile_support_set_is_explicit
HAL-NULL-002,null-profile,implemented-verified,host-tests,null_profile_support_set_is_explicit
